ID,total,param,local,global,compiles,time,J,GFLOP/s,GFLOP/watt,status
374,578,0   64   32   32    8   16    8   16    2    1    1    0    0    1    1    1,8      16,512    2048,OK     11 ms,51.54 ms,5.70,2666.2,24.1,results match
375,578,0   64   32   32    8   16    8   16    2    1    2    0    0    0    0    1,8      16,512    2048,OK     11 ms,47.73 ms,5.40,2878.9,25.5,results match
376,578,0   64   32   32    8   16    8   16    2    1    2    0    0    1    1    1,8      16,512    2048,OK     10 ms,48.31 ms,5.39,2844.8,25.5,results match
377,578,0   64   32   32    8   16    8   16    2    2    1    0    0    0    0    1,8      16,512    2048,OK     11 ms,45.97 ms,5.29,2989.6,26.0,results match
378,578,0   64   32   32    8   16    8   16    2    2    1    0    0    1    1    1,8      16,512    2048,OK     11 ms,43.60 ms,5.02,3152.0,27.4,results match
379,578,0   64   32   32    8   16    8   16    2    2    2    0    0    0    0    1,8      16,512    2048,OK     11 ms,42.73 ms,4.95,3216.1,27.8,results match
380,578,0   64   32   32    8   16    8   16    2    2    2    0    0    1    1    1,8      16,512    2048,OK      9 ms,41.79 ms,4.80,3288.1,28.6,results match
381,578,0   64   32   32    8   16    8   16    2    4    1    0    0    0    0    1,8      16,512    2048,OK      9 ms,42.53 ms,5.01,3231.4,27.4,results match
382,578,0   64   32   32    8   16    8   16    2    4    1    0    0    1    1    1,8      16,512    2048,OK      9 ms,39.44 ms,4.70,3484.4,29.2,results match
383,578,0   64   32   32    8   16    8   16    2    4    2    0    0    0    0    1,8      16,512    2048,OK      8 ms,39.40 ms,4.69,3487.4,29.3,results match
384,578,0   64   32   32    8   16    8   16    2    4    2    0    0    1    1    1,8      16,512    2048,OK      9 ms,39.12 ms,4.64,3512.6,29.6,results match
385,578,0   64   32   32    8   32    8   32    2    1    1    0    0    0    0    1,8      32,512    4096,OK     11 ms,76.12 ms,8.41,1805.4,16.3,results match
386,578,0   64   32   32    8   32    8   32    2    1    1    0    0    1    1    1,8      32,512    4096,OK      8 ms,73.70 ms,7.62,1864.6,18.0,results match
387,578,0   64   32   32    8   32    8   32    2    2    1    0    0    0    0    1,8      32,512    4096,OK     10 ms,65.71 ms,7.34,2091.3,18.7,results match
388,578,0   64   32   32    8   32    8   32    2    2    1    0    0    1    1    1,8      32,512    4096,OK     10 ms,65.07 ms,7.04,2111.8,19.5,results match
389,578,0   64   32   32    8   32    8   32    2    4    1    0    0    0    0    1,8      32,512    4096,OK      9 ms,60.32 ms,7.01,2278.2,19.6,results match
390,578,0   64   32   32    8   32    8   32    2    4    1    0    0    1    1    1,8      32,512    4096,OK     10 ms,60.76 ms,6.78,2261.8,20.3,results match
391,578,0   64   32   32   16    8   16    8    2    1    1    0    0    0    0    1,16       8,1024    1024,OK      8 ms,42.77 ms,4.77,3213.2,28.8,results match
392,578,0   64   32   32   16    8   16    8    2    1    1    0    0    1    1    1,16       8,1024    1024,OK      9 ms,42.93 ms,4.98,3200.9,27.6,results match
393,578,0   64   32   32   16    8   16    8    2    1    2    0    0    0    0    1,16       8,1024    1024,OK      8 ms,41.98 ms,4.82,3273.9,28.5,results match
394,578,0   64   32   32   16    8   16    8    2    1    2    0    0    1    1    1,16       8,1024    1024,OK      9 ms,39.87 ms,4.62,3446.7,29.7,results match
395,578,0   64   32   32   16    8   16    8    2    1    4    0    0    0    0    1,16       8,1024    1024,OK      9 ms,37.27 ms,4.44,3687.1,30.9,results match
396,578,0   64   32   32   16    8   16    8    2    1    4    0    0    1    1    1,16       8,1024    1024,OK     10 ms,38.22 ms,4.47,3595.7,30.7,results match
397,578,0   64   32   32   16    8   16    8    2    2    1    0    0    0    0    1,16       8,1024    1024,OK      9 ms,40.45 ms,4.70,3397.5,29.3,results match
398,578,0   64   32   32   16    8   16    8    2    2    1    0    0    1    1    1,16       8,1024    1024,OK     10 ms,36.49 ms,4.36,3765.9,31.5,results match
399,578,0   64   32   32   16    8   16    8    2    2    2    0    0    0    0    1,16       8,1024    1024,OK     10 ms,37.92 ms,4.40,3624.3,31.3,results match
400,578,0   64   32   32   16    8   16    8    2    2    2    0    0    1    1    1,16       8,1024    1024,OK     10 ms,35.87 ms,4.29,3831.1,32.0,results match
401,578,0   64   32   32   16    8   16    8    2    2    4    0    0    0    0    1,16       8,1024    1024,OK     10 ms,34.70 ms,4.19,3960.1,32.8,results match
402,578,0   64   32   32   16    8   16    8    2    2    4    0    0    1    1    1,16       8,1024    1024,OK     12 ms,34.56 ms,4.13,3976.2,33.3,results match
403,578,0   64   32   32   16    8   16    8    2    4    1    0    0    0    0    1,16       8,1024    1024,OK     10 ms,39.18 ms,4.59,3507.1,30.0,results match
404,578,0   64   32   32   16    8   16    8    2    4    1    0    0    1    1    1,16       8,1024    1024,OK     17 ms,32.19 ms,3.98,4268.7,34.5,results match
405,578,0   64   32   32   16    8   16    8    2    4    2    0    0    0    0    1,16       8,1024    1024,OK      9 ms,34.78 ms,3.87,3951.4,35.5,results match
406,578,0   64   32   32   16    8   16    8    2    4    2    0    0    1    1    1,16       8,1024    1024,OK     11 ms,32.09 ms,3.95,4282.6,34.8,results match
407,578,0   64   32   32   16    8   16    8    2    4    4    0    0    0    0    1,16       8,1024    1024,OK      9 ms,33.40 ms,4.06,4114.4,33.8,results match
408,578,0   64   32   32   16    8   16    8    2    4    4    0    0    1    1    1,16       8,1024    1024,OK     10 ms,31.59 ms,3.86,4350.8,35.6,results match
409,578,0   64   32   32   16   16   16   16    2    1    1    0    0    0    0    1,16      16,1024    2048,OK     10 ms,58.36 ms,6.61,2354.7,20.8,results match
410,578,0   64   32   32   16   16   16   16    2    1    1    0    0    1    1    1,16      16,1024    2048,OK     10 ms,53.75 ms,5.91,2556.6,23.2,results match
411,578,0   64   32   32   16   16   16   16    2    1    2    0    0    0    0    1,16      16,1024    2048,OK     10 ms,50.96 ms,5.91,2696.6,23.3,results match
412,578,0   64   32   32   16   16   16   16    2    1    2    0    0    1    1    1,16      16,1024    2048,OK     38 ms,48.64 ms,5.43,2825.2,25.3,results match
413,578,0   64   32   32   16   16   16   16    2    2    1    0    0    0    0    1,16      16,1024    2048,OK     12 ms,54.95 ms,6.42,2501.1,21.4,results match
414,578,0   64   32   32   16   16   16   16    2    2    1    0    0    1    1    1,16      16,1024    2048,OK      9 ms,45.38 ms,5.26,3028.4,26.1,results match
415,578,0   64   32   32   16   16   16   16    2    2    2    0    0    0    0    1,16      16,1024    2048,OK      9 ms,48.23 ms,5.73,2849.3,24.0,results match
416,578,0   64   32   32   16   16   16   16    2    2    2    0    0    1    1    1,16      16,1024    2048,OK     12 ms,43.99 ms,5.09,3124.1,27.0,results match
417,578,0   64   32   32   16   16   16   16    2    4    1    0    0    0    0    1,16      16,1024    2048,OK      9 ms,45.25 ms,5.01,3036.8,27.4,results match
418,578,0   64   32   32   16   16   16   16    2    4    1    0    0    1    1    1,16      16,1024    2048,OK      9 ms,37.73 ms,4.53,3641.9,30.3,results match
419,578,0   64   32   32   16   16   16   16    2    4    2    0    0    0    0    1,16      16,1024    2048,OK     10 ms,41.26 ms,5.04,3330.6,27.3,results match
420,578,0   64   32   32   16   16   16   16    2    4    2    0    0    1    1    1,16      16,1024    2048,OK     10 ms,36.17 ms,4.29,3799.5,32.0,results match
421,578,0   64   32   32   16   32   16   32    2    1    1    0    0    0    0    1,16      32,1024    4096,OK     20 ms,82.74 ms,9.16,1661.0,15.0,results match
