|   ID | total |                                                                           param |      local      |      global     |       compiles |         time |          J |  GFLOP/s |     GFLOP/watt |            status |
x------x-------x---------------------------------------------------------------------------------x-----------------x-----------------x----------------x--------------x------------x----------x----------------x-------------------x
|   66 |   578 |    0   16   64   32    8    8    8    8    2    2    4    0    0    1    1    1 |       8       8 |    2048     512 |   OK      9 ms |     20.65 ms |       4.10 |   6653.6 |           33.5 |     results match |
|   67 |   578 |    0   16   64   32    8   16    8   16    2    1    1    0    0    0    0    1 |       8      16 |    2048    1024 |   OK      8 ms |     30.57 ms |       6.03 |   4495.7 |           22.8 |     results match |
|   68 |   578 |    0   16   64   32    8   16    8   16    2    1    1    0    0    1    1    1 |       8      16 |    2048    1024 |   OK      9 ms |     32.29 ms |       6.37 |   4255.9 |           21.6 |     results match |
|   69 |   578 |    0   16   64   32    8   16    8   16    2    1    2    0    0    0    0    1 |       8      16 |    2048    1024 |   OK     10 ms |     25.78 ms |       5.06 |   5330.5 |           27.2 |     results match |
|   70 |   578 |    0   16   64   32    8   16    8   16    2    1    2    0    0    1    1    1 |       8      16 |    2048    1024 |   OK      9 ms |     24.17 ms |       4.74 |   5685.9 |           29.0 |     results match |
|   71 |   578 |    0   16   64   32    8   16    8   16    2    1    4    0    0    0    0    1 |       8      16 |    2048    1024 |   OK     10 ms |     22.72 ms |       4.46 |   6048.3 |           30.8 |     results match |
|   72 |   578 |    0   16   64   32    8   16    8   16    2    1    4    0    0    1    1    1 |       8      16 |    2048    1024 |   OK      9 ms |     21.28 ms |       4.21 |   6458.4 |           32.6 |     results match |
|   73 |   578 |    0   16   64   32    8   16    8   16    2    2    1    0    0    0    0    1 |       8      16 |    2048    1024 |   OK     13 ms |     29.94 ms |       5.89 |   4589.4 |           23.3 |     results match |
|   74 |   578 |    0   16   64   32    8   16    8   16    2    2    1    0    0    1    1    1 |       8      16 |    2048    1024 |   OK     10 ms |     24.59 ms |       4.83 |   5587.6 |           28.5 |     results match |
|   75 |   578 |    0   16   64   32    8   16    8   16    2    2    2    0    0    0    0    1 |       8      16 |    2048    1024 |   OK      9 ms |     27.93 ms |       5.51 |   4920.0 |           24.9 |     results match |
|   76 |   578 |    0   16   64   32    8   16    8   16    2    2    2    0    0    1    1    1 |       8      16 |    2048    1024 |   OK      9 ms |     22.44 ms |       4.43 |   6122.8 |           31.0 |     results match |
|   77 |   578 |    0   16   64   32    8   16    8   16    2    2    4    0    0    0    0    1 |       8      16 |    2048    1024 |   OK     10 ms |     21.43 ms |       4.22 |   6413.3 |           32.6 |     results match |
|   78 |   578 |    0   16   64   32    8   16    8   16    2    2    4    0    0    1    1    1 |       8      16 |    2048    1024 |   OK     12 ms |     19.86 ms |       3.96 |   6920.1 |           34.7 |     results match |
|   79 |   578 |    0   16   64   32    8   32    8   32    2    1    1    0    0    0    0    1 |       8      32 |    2048    2048 |   OK      9 ms |     39.67 ms |       7.82 |   3464.4 |           17.6 |     results match |
|   80 |   578 |    0   16   64   32    8   32    8   32    2    1    1    0    0    1    1    1 |       8      32 |    2048    2048 |   OK     10 ms |     32.24 ms |       6.37 |   4262.3 |           21.6 |     results match |
|   81 |   578 |    0   16   64   32    8   32    8   32    2    1    2    0    0    0    0    1 |       8      32 |    2048    2048 |   OK     10 ms |     33.18 ms |       6.60 |   4141.1 |           20.8 |     results match |
|   82 |   578 |    0   16   64   32    8   32    8   32    2    1    2    0    0    1    1    1 |       8      32 |    2048    2048 |   OK      9 ms |     25.73 ms |       5.05 |   5340.7 |           27.2 |     results match |
|   83 |   578 |    0   16   64   32    8   32    8   32    2    2    1    0    0    0    0    1 |       8      32 |    2048    2048 |   OK      9 ms |     35.58 ms |       6.99 |   3862.7 |           19.6 |     results match |
|   84 |   578 |    0   16   64   32    8   32    8   32    2    2    1    0    0    1    1    1 |       8      32 |    2048    2048 |   OK      9 ms |     25.13 ms |       5.00 |   5467.8 |           27.5 |     results match |
|   85 |   578 |    0   16   64   32    8   32    8   32    2    2    2    0    0    0    0    1 |       8      32 |    2048    2048 |   OK      9 ms |     28.84 ms |       5.72 |   4765.2 |           24.0 |     results match |
|   86 |   578 |    0   16   64   32    8   32    8   32    2    2    2    0    0    1    1    1 |       8      32 |    2048    2048 |   OK      9 ms |     23.85 ms |       4.70 |   5762.9 |           29.2 |     results match |
|   87 |   578 |    0   16   64   32   16    8   16    8    2    1    1    0    0    0    0    1 |      16       8 |    4096     512 |   OK      8 ms |     41.92 ms |       8.24 |   3278.1 |           16.7 |     results match |
|   88 |   578 |    0   16   64   32   16    8   16    8    2    1    1    0    0    1    1    1 |      16       8 |    4096     512 |   OK      9 ms |     45.77 ms |       8.97 |   3002.7 |           15.3 |     results match |
|   89 |   578 |    0   16   64   32   16    8   16    8    2    1    2    0    0    0    0    1 |      16       8 |    4096     512 |   OK     10 ms |     31.81 ms |       6.25 |   4320.6 |           22.0 |     results match |
|   90 |   578 |    0   16   64   32   16    8   16    8    2    1    2    0    0    1    1    1 |      16       8 |    4096     512 |   OK     10 ms |     28.81 ms |       5.68 |   4769.5 |           24.2 |     results match |
|   91 |   578 |    0   16   64   32   16    8   16    8    2    1    4    0    0    0    0    1 |      16       8 |    4096     512 |   OK     10 ms |     29.84 ms |       5.90 |   4605.8 |           23.3 |     results match |
|   92 |   578 |    0   16   64   32   16    8   16    8    2    1    4    0    0    1    1    1 |      16       8 |    4096     512 |   OK      9 ms |     24.47 ms |       4.80 |   5615.0 |           28.6 |     results match |
|   93 |   578 |    0   16   64   32   16   16   16   16    2    1    1    0    0    0    0    1 |      16      16 |    4096    1024 |   OK      8 ms |     45.77 ms |       9.05 |   3002.2 |           15.2 |     results match |
|   94 |   578 |    0   16   64   32   16   16   16   16    2    1    1    0    0    1    1    1 |      16      16 |    4096    1024 |   OK      8 ms |     40.51 ms |       8.00 |   3392.0 |           17.2 |     results match |
|   95 |   578 |    0   16   64   32   16   16   16   16    2    1    2    0    0    0    0    1 |      16      16 |    4096    1024 |   OK      8 ms |     37.53 ms |       7.41 |   3661.9 |           18.6 |     results match |
|   96 |   578 |    0   16   64   32   16   16   16   16    2    1    2    0    0    1    1    1 |      16      16 |    4096    1024 |   OK     10 ms |     27.43 ms |       5.46 |   5009.1 |           25.2 |     results match |
|   97 |   578 |    0   16   64   32   16   16   16   16    2    1    4    0    0    0    0    1 |      16      16 |    4096    1024 |   OK      9 ms |     32.39 ms |       6.42 |   4243.2 |           21.4 |     results match |
|   98 |   578 |    0   16   64   32   16   16   16   16    2    1    4    0    0    1    1    1 |      16      16 |    4096    1024 |   OK     11 ms |     24.51 ms |       4.84 |   5607.8 |           28.4 |     results match |
|   99 |   578 |    0   16   64   32   16   32   16   32    2    1    1    0    0    0    0    1 |      16      32 |    4096    2048 |   OK     10 ms |     57.06 ms |      11.37 |   2408.2 |           12.1 |     results match |
|  100 |   578 |    0   16   64   32   16   32   16   32    2    1    1    0    0    1    1    1 |      16      32 |    4096    2048 |   OK     10 ms |     40.86 ms |       8.10 |   3363.3 |           17.0 |     results match |
|  101 |   578 |    0   16   64   32   16   32   16   32    2    1    2    0    0    0    0    1 |      16      32 |    4096    2048 |   OK     10 ms |     42.48 ms |       8.38 |   3235.1 |           16.4 |     results match |
|  102 |   578 |    0   16   64   32   16   32   16   32    2    1    2    0    0    1    1    1 |      16      32 |    4096    2048 |   OK      9 ms |     29.45 ms |       5.87 |   4666.5 |           23.4 |     results match |
|  103 |   578 |    0   32   16   32    8    8    8    8    2    1    1    0    0    0    0    1 |       8       8 |    1024    2048 |   OK      9 ms |     34.22 ms |       6.76 |   4015.8 |           20.3 |     results match |
|  104 |   578 |    0   32   16   32    8    8    8    8    2    1    1    0    0    1    1    1 |       8       8 |    1024    2048 |   OK      9 ms |     37.57 ms |       7.47 |   3657.7 |           18.4 |     results match |
|  105 |   578 |    0   32   16   32    8    8    8    8    2    1    2    0    0    0    0    1 |       8       8 |    1024    2048 |   OK     10 ms |     30.20 ms |       5.95 |   4549.8 |           23.1 |     results match |
|  106 |   578 |    0   32   16   32    8    8    8    8    2    1    2    0    0    1    1    1 |       8       8 |    1024    2048 |   OK     11 ms |     32.87 ms |       6.55 |   4181.0 |           21.0 |     results match |
|  107 |   578 |    0   32   16   32    8    8    8    8    2    2    1    0    0    0    0    1 |       8       8 |    1024    2048 |   OK     12 ms |     32.48 ms |       6.42 |   4230.8 |           21.4 |     results match |
|  108 |   578 |    0   32   16   32    8    8    8    8    2    2    1    0    0    1    1    1 |       8       8 |    1024    2048 |   OK      8 ms |     29.51 ms |       5.87 |   4656.4 |           23.4 |     results match |
|  109 |   578 |    0   32   16   32    8    8    8    8    2    2    2    0    0    0    0    1 |       8       8 |    1024    2048 |   OK     10 ms |     28.06 ms |       5.53 |   4896.9 |           24.8 |     results match |
|  110 |   578 |    0   32   16   32    8    8    8    8    2    2    2    0    0    1    1    1 |       8       8 |    1024    2048 |   OK      9 ms |     28.37 ms |       5.59 |   4843.1 |           24.6 |     results match |
